2026-05-28 14:34:57 [TestNG-tests-1] INFO  Login_TC - ***** Starting Test Execution ****
2026-05-28 14:36:08 [TestNG-tests-1] INFO  Login_TC - Local Browser launched
2026-05-28 14:36:10 [TestNG-tests-1] INFO  LoginPage - Checking company logo
2026-05-28 14:36:10 [TestNG-tests-1] INFO  LoginPage - Company logo displayed successfully
2026-05-28 14:36:11 [TestNG-tests-2] INFO  Login_TC - Local Browser launched
2026-05-28 14:36:11 [TestNG-tests-2] INFO  LoginPage - Checking company logo
2026-05-28 14:36:11 [TestNG-tests-1] INFO  LoginPage - Entering username
2026-05-28 14:36:13 [TestNG-tests-2] INFO  LoginPage - Company logo displayed successfully
2026-05-28 14:36:13 [TestNG-tests-2] INFO  LoginPage - Entering username
2026-05-28 14:36:13 [TestNG-tests-3] INFO  Login_TC - Local Browser launched
2026-05-28 14:36:13 [TestNG-tests-3] INFO  LoginPage - Checking company logo
2026-05-28 14:36:13 [TestNG-tests-2] INFO  LoginPage - Username entered successfully
2026-05-28 14:36:13 [TestNG-tests-2] INFO  LoginPage - Entering password
2026-05-28 14:36:13 [TestNG-tests-1] INFO  LoginPage - Username entered successfully
2026-05-28 14:36:13 [TestNG-tests-1] INFO  LoginPage - Entering password
2026-05-28 14:36:13 [TestNG-tests-2] INFO  LoginPage - Password entered successfully
2026-05-28 14:36:13 [TestNG-tests-2] INFO  LoginPage - Clicking Login button
2026-05-28 14:36:14 [TestNG-tests-1] INFO  LoginPage - Password entered successfully
2026-05-28 14:36:14 [TestNG-tests-1] INFO  LoginPage - Clicking Login button
2026-05-28 14:36:15 [TestNG-tests-2] INFO  LoginPage - Login button clicked successfully
2026-05-28 14:36:15 [TestNG-tests-1] INFO  LoginPage - Login button clicked successfully
2026-05-28 14:36:18 [TestNG-tests-3] INFO  LoginPage - Company logo displayed successfully
2026-05-28 14:36:18 [TestNG-tests-3] INFO  LoginPage - Entering username
2026-05-28 14:36:19 [TestNG-tests-3] INFO  LoginPage - Username entered successfully
2026-05-28 14:36:19 [TestNG-tests-3] INFO  LoginPage - Entering password
2026-05-28 14:36:19 [TestNG-tests-3] INFO  LoginPage - Password entered successfully
2026-05-28 14:36:19 [TestNG-tests-3] INFO  LoginPage - Clicking Login button
2026-05-28 14:36:21 [TestNG-tests-2] INFO  LoginPage - Performing Logout
2026-05-28 14:36:21 [TestNG-tests-1] INFO  LoginPage - Performing Logout
2026-05-28 14:36:26 [TestNG-tests-3] INFO  LoginPage - Login button clicked successfully
2026-05-28 14:36:27 [TestNG-tests-1] INFO  LoginPage - Logout successful
2026-05-28 14:36:27 [TestNG-tests-1] INFO  LoginPage - Entering username
2026-05-28 14:36:32 [TestNG-tests-3] INFO  LoginPage - Performing Logout
2026-05-28 14:36:35 [TestNG-tests-1] INFO  LoginPage - Username entered successfully
2026-05-28 14:36:35 [TestNG-tests-1] INFO  LoginPage - Entering password
2026-05-28 14:36:35 [TestNG-tests-1] INFO  LoginPage - Password entered successfully
2026-05-28 14:36:35 [TestNG-tests-1] INFO  LoginPage - Clicking Login button
2026-05-28 14:36:35 [TestNG-tests-1] INFO  LoginPage - Login button clicked successfully
2026-05-28 14:36:36 [TestNG-tests-1] INFO  Login_TC - ===== Closing Browser =====
2026-05-28 14:36:40 [TestNG-tests-3] INFO  LoginPage - Logout successful
2026-05-28 14:36:40 [TestNG-tests-3] INFO  LoginPage - Entering username
2026-05-28 14:36:41 [TestNG-tests-3] INFO  LoginPage - Username entered successfully
2026-05-28 14:36:41 [TestNG-tests-3] INFO  LoginPage - Entering password
2026-05-28 14:36:41 [TestNG-tests-3] INFO  LoginPage - Password entered successfully
2026-05-28 14:36:41 [TestNG-tests-3] INFO  LoginPage - Clicking Login button
2026-05-28 14:36:42 [TestNG-tests-3] INFO  LoginPage - Login button clicked successfully
2026-05-28 14:36:42 [TestNG-tests-3] INFO  Login_TC - ===== Closing Browser =====
2026-05-28 14:36:51 [TestNG-tests-2] INFO  LoginPage - Logout successful
2026-05-28 14:36:51 [TestNG-tests-2] INFO  LoginPage - Entering username
2026-05-28 14:36:51 [TestNG-tests-2] INFO  LoginPage - Username entered successfully
2026-05-28 14:36:51 [TestNG-tests-2] INFO  LoginPage - Entering password
2026-05-28 14:36:51 [TestNG-tests-2] INFO  LoginPage - Password entered successfully
2026-05-28 14:36:51 [TestNG-tests-2] INFO  LoginPage - Clicking Login button
2026-05-28 14:36:51 [TestNG-tests-2] INFO  LoginPage - Login button clicked successfully
2026-05-28 14:36:53 [TestNG-tests-2] INFO  Login_TC - ===== Closing Browser =====
